StrainID,Plate,Row,Column,Plane,Timepoint,score,is_inlier
DMA,1,1,1,1,0,0.0002556815948051433,False
DMA,1,1,1,1,0,8.827312500744866e-05,False
DMA,1,1,1,1,0,-9.207815671596897e-07,True
DMA,1,1,1,1,0,-5.390867008764344e-07,True
DMA,1,1,1,1,0,-0.0004016539695781557,True
DMA,1,1,1,1,0,-8.734502275033196e-05,True
DMA,1,1,1,1,0,-0.00043742309295601023,True
DMA,1,1,1,1,0,0.00013477532025205075,False
DMA,1,1,1,1,0,-0.00036479107580476844,True
DMA,1,1,1,1,0,-0.0002751726175797137,True
DMA,1,1,1,1,0,0.00023337750253950296,False
DMA,1,1,1,1,0,1.9108610919513214e-05,False
DMA,1,1,1,1,0,-0.0004416189133835263,True
DMA,1,1,1,1,0,-0.00046737558704454396,True
DMA,1,1,1,1,0,-9.465270110603496e-05,True
DMA,1,1,1,1,0,-9.104687394617672e-05,True
DMA,1,1,1,1,0,0.00011328978136640466,False
DMA,1,1,1,1,0,-4.2978738233653835e-05,True
DMA,1,1,1,1,0,0.0002420075281950873,False
DMA,1,1,1,1,0,-0.0001258626981768679,True
DMA,1,1,1,1,0,-0.00013114898019747634,True
DMA,1,1,1,1,0,0.0004421102779718217,False
DMA,1,1,1,1,0,0.00011804080241629988,False
DMA,1,1,1,1,0,-6.584327041733729e-05,True
DMA,1,1,1,1,0,-4.2891165998468206e-05,True
DMA,1,1,1,1,0,0.00023994004166090488,False
DMA,1,1,1,1,0,0.00034492025951782246,False
DMA,1,1,1,1,0,0.00033944894996587593,False
DMA,1,1,1,1,0,-9.000370055570195e-05,True
DMA,1,1,1,1,0,0.00032655149398211347,False
DMA,1,1,1,1,0,-3.796480019419013e-05,True
DMA,1,1,1,1,0,-8.733734667551452e-05,True
DMA,1,1,1,1,0,-6.812308890334628e-05,True
DMA,1,1,1,1,0,0.0004589003560755839,False
DMA,1,1,1,1,0,8.708311282457082e-05,False
DMA,1,1,1,1,0,-9.602039442305199e-05,True
DMA,1,1,1,1,0,4.5437989299138004e-05,False
DMA,1,1,1,1,0,-0.00010541020853897798,True
DMA,1,1,1,1,0,-3.7964814299462635e-05,True
DMA,1,1,1,1,0,0.00022747746606024966,False
DMA,1,1,1,1,0,-9.229010920494551e-05,True
DMA,1,1,1,1,0,-0.00044133027985045203,True
DMA,1,1,1,1,0,-3.188122481188882e-05,True
DMA,1,1,1,1,0,-0.0005068880113437702,True
DMA,1,1,1,1,0,-4.818467263560666e-05,True
DMA,1,1,1,1,0,0.00042022098698105137,False
DMA,1,1,1,1,0,-0.0001238380988117238,True
DMA,1,1,1,1,0,4.2187415603078815e-05,False
DMA,1,1,1,1,0,-0.000512462970531341,True
DMA,1,1,1,1,0,0.00032840627239755227,False
DMA,1,1,1,1,0,0.00038607820730386655,False
DMA,1,1,1,1,0,0.00047216773022434877,False
DMA,1,1,1,1,0,-9.071118300806036e-05,True
DMA,1,1,1,1,0,-0.00011870630213244027,True
DMA,1,1,1,1,0,-0.00010058954276773169,True
DMA,1,1,1,1,0,-0.0001383404000436378,True
DMA,1,1,1,1,0,5.0450695443349236e-05,False
DMA,1,1,1,1,0,-9.01116809204211e-05,True
DMA,1,1,1,1,0,-0.0002507338991250829,True
DMA,1,1,1,1,0,1.855101884151722e-05,False
DMA,1,1,1,1,0,0.0001391229708427727,False
DMA,1,1,1,1,0,-0.0004022496498806011,True
DMA,1,1,1,1,0,0.00031897427801026723,False
DMA,1,1,1,1,0,0.00010333767133631488,False
DMA,1,1,1,1,0,-0.00017589387705271853,True
DMA,1,1,1,1,0,0.00038065891743885305,False
DMA,1,1,1,1,0,1.6823178030186958e-05,False
DMA,1,1,1,1,0,0.0003836189365374332,False
DMA,1,13,1,1,0,-0.00012144374019544546,True
DMA,1,13,1,1,0,-3.220667513487152e-05,True
DMA,1,13,1,1,0,-0.0001780594078113623,True
DMA,1,13,1,1,0,0.00022765451598172337,False
DMA,1,13,1,1,0,-6.812360764843484e-05,True
DMA,1,13,1,1,0,0.0001394788346419512,False
DMA,1,13,1,1,0,0.0003113291026046877,False
DMA,1,13,1,1,0,9.436605182315538e-05,False
DMA,1,13,1,1,0,-0.000496133872750687,True
DMA,1,13,1,1,0,-1.0808999170233702e-05,True
DMA,1,13,1,1,0,0.00011454450709853792,False
DMA,1,13,1,1,0,-0.00047141929412417016,True
DMA,1,13,1,1,0,0.00043210067979881917,False
TSA,1,5,1,1,0,0.10677638837702114,False
TSA,1,5,1,1,0,0.10415874977420336,False
TSA,1,5,1,1,0,0.07635266044017464,False
TSA,1,5,1,1,0,0.10687869137952828,False
TSA,1,5,1,1,0,0.1057039854240466,False
TSA,1,5,1,1,0,0.10357653338123944,False
TSA,1,5,1,1,0,0.10679741086079698,False
TSA,1,5,1,1,0,0.10728658305155134,False
TSA,1,5,1,1,0,0.0719875980813352,False
TSA,1,5,1,1,0,0.10679886718919655,False
TSA,1,5,1,1,0,0.09901666952732338,False
TSA,1,5,1,1,0,0.1058634582259333,False
TSA,1,5,1,1,0,0.10648394086005487,False
TSA,1,5,1,1,0,0.05164806573028831,False
TSA,1,5,1,1,0,0.1072894689859226,False
TSA,1,5,1,1,0,0.10426712377518155,False
TSA,1,5,1,1,0,0.10702563439767773,False
TSA,1,5,1,1,0,0.08528494526247779,False
TSA,1,5,1,1,0,0.10619085839430496,False
TSA,1,5,1,1,0,0.10708064970982681,False
TSA,1,5,1,1,0,0.09878977264445456,False
TSA,1,5,1,1,0,0.0996664503376782,False
TSA,1,5,1,1,0,0.04938671319615731,False
TSA,1,5,1,1,0,0.08152418248680351,False
TSA,1,5,1,1,0,0.10704918661877436,False
TSA,1,5,1,1,0,0.0820045192773304,False
TSA,1,5,1,1,0,0.10628474184509842,False
TSA,1,5,1,1,0,0.10540445519036022,False
TSA,1,5,1,1,0,0.10710387801481272,False
TSA,1,5,1,1,0,0.09330758413941413,False
TSA,1,5,1,1,0,0.084056333776578,False
TSA,1,5,1,1,0,0.0733682872144662,False
TSA,1,5,1,1,0,0.10623756477532725,False
TSA,1,5,1,1,0,0.1071012883838255,False
TSA,1,5,1,1,0,0.08806193610872305,False
TSA,1,5,1,1,0,0.07895805493869357,False
TSA,1,5,1,1,0,0.10728355194415512,False
TSA,1,5,1,1,0,0.10568259403313447,False
TSA,1,5,1,1,0,0.10687185902793349,False
TSA,1,5,1,1,0,0.10549711979596754,False
TSA,1,5,1,1,0,0.08691791215252892,False
TSA,1,5,1,1,0,0.10724558982735984,False
TSA,1,5,1,1,0,0.09483192929927162,False
TSA,1,5,1,1,0,0.09185159344076728,False
TSA,1,5,1,1,0,0.10722761896441477,False
TSA,1,5,1,1,0,0.09180109754629892,False
TSA,1,5,1,1,0,0.10543272758219577,False
TSA,1,5,1,1,0,0.10246941813939744,False
